experiment_id,run_id,case_id,symbol,decision_session,decision_time_utc,execution_session,action,decision_status,rebalance_status,provider,quick_model,deep_model,thinking_mode,temperature,research_depth,debate_rounds,risk_rounds,graph_config_sha256,portfolio_equity_before,portfolio_weight_before,report_path,source_audit_path,cache_key,cache_status,wall_clock_seconds,prompt_tokens,prompt_cache_hit_tokens,prompt_cache_miss_tokens,completion_tokens,reasoning_tokens,total_tokens
M0_original_prompt_2024H1,20260812T082530978211Z_2535896c,AAPL:2024-01-05,AAPL,2024-01-05,2024-01-05T21:00:00+00:00,2024-01-08,SELL,cached,noop,deepseek,deepseek-v4-flash,deepseek-v4-flash,disabled,0.0,medium,3,3,5b1b6e1c132c13f9830b377ba9d54bf0c792b087e9917af5f0ada9cc895d661e,100000.0,0.0,strategy/cases/AAPL/2024-01-05/reports,strategy/cases/AAPL/2024-01-05/source_audit.json,94d238f4fd28505fab42f1867c8c6ac59e7cd3d063da133bf04a3a2e1cb9a8ed,hit,0.010507249971851707,262857,67200,195657,34014,,296871
M0_original_prompt_2024H1,20260812T082530978211Z_2535896c,AAPL:2024-01-12,AAPL,2024-01-12,2024-01-12T21:00:00+00:00,2024-01-16,HOLD,cached,noop,deepseek,deepseek-v4-flash,deepseek-v4-flash,disabled,0.0,medium,3,3,5b1b6e1c132c13f9830b377ba9d54bf0c792b087e9917af5f0ada9cc895d661e,100000.0,0.0,strategy/cases/AAPL/2024-01-12/reports,strategy/cases/AAPL/2024-01-12/source_audit.json,358264ee5634e2ac9fe71464ecf9291a6f27dc20bbbfe0ea8a67ebc1271ede1f,hit,0.010405540990177542,274308,61312,212996,37893,,312201
M0_original_prompt_2024H1,20260812T082530978211Z_2535896c,AAPL:2024-01-19,AAPL,2024-01-19,2024-01-19T21:00:00+00:00,2024-01-22,HOLD,cached,noop,deepseek,deepseek-v4-flash,deepseek-v4-flash,disabled,0.0,medium,3,3,5b1b6e1c132c13f9830b377ba9d54bf0c792b087e9917af5f0ada9cc895d661e,100000.0,0.0,strategy/cases/AAPL/2024-01-19/reports,strategy/cases/AAPL/2024-01-19/source_audit.json,c89fa8fddecb90b450e7b9b4930562354c7917653fb68842d4a0fe8f6e96b659,hit,0.011005583975929767,266368,63872,202496,35953,,302321
M0_original_prompt_2024H1,20260812T082530978211Z_2535896c,AAPL:2024-01-26,AAPL,2024-01-26,2024-01-26T21:00:00+00:00,2024-01-29,HOLD,cached,noop,deepseek,deepseek-v4-flash,deepseek-v4-flash,disabled,0.0,medium,3,3,5b1b6e1c132c13f9830b377ba9d54bf0c792b087e9917af5f0ada9cc895d661e,100000.0,0.0,strategy/cases/AAPL/2024-01-26/reports,strategy/cases/AAPL/2024-01-26/source_audit.json,c6dcec1d6f765137cbca4e2a55acc95094622d055b9566a67eb44e279bad8d11,hit,0.009185167029500008,269573,65408,204165,36528,,306101
M0_original_prompt_2024H1,20260812T082530978211Z_2535896c,AAPL:2024-02-02,AAPL,2024-02-02,2024-02-02T21:00:00+00:00,2024-02-05,HOLD,cached,noop,deepseek,deepseek-v4-flash,deepseek-v4-flash,disabled,0.0,medium,3,3,5b1b6e1c132c13f9830b377ba9d54bf0c792b087e9917af5f0ada9cc895d661e,100000.0,0.0,strategy/cases/AAPL/2024-02-02/reports,strategy/cases/AAPL/2024-02-02/source_audit.json,5d75c93d1dc06a78e01a93a84392b231a33d3fef978057163e27fc20ed8ef328,hit,0.009476917039137334,269636,59904,209732,36449,,306085
M0_original_prompt_2024H1,20260812T082530978211Z_2535896c,AAPL:2024-02-09,AAPL,2024-02-09,2024-02-09T21:00:00+00:00,2024-02-12,HOLD,cached,noop,deepseek,deepseek-v4-flash,deepseek-v4-flash,disabled,0.0,medium,3,3,5b1b6e1c132c13f9830b377ba9d54bf0c792b087e9917af5f0ada9cc895d661e,100000.0,0.0,strategy/cases/AAPL/2024-02-09/reports,strategy/cases/AAPL/2024-02-09/source_audit.json,8aa03bfb4e8cd6907fb633cc56ab1f15d2a183e0b60acd142a259e0c2537af4b,hit,0.009162249974906445,294475,63488,230987,42625,,337100
M0_original_prompt_2024H1,20260812T082530978211Z_2535896c,AAPL:2024-02-16,AAPL,2024-02-16,2024-02-16T21:00:00+00:00,2024-02-20,HOLD,cached,noop,deepseek,deepseek-v4-flash,deepseek-v4-flash,disabled,0.0,medium,3,3,5b1b6e1c132c13f9830b377ba9d54bf0c792b087e9917af5f0ada9cc895d661e,100000.0,0.0,strategy/cases/AAPL/2024-02-16/reports,strategy/cases/AAPL/2024-02-16/source_audit.json,5f79333ad9d2f0664704360b2af6ebd7951a8b3910fc59c6ff263c56451ea86a,hit,0.008916958002373576,280960,65408,215552,35501,,316461
M0_original_prompt_2024H1,20260812T082530978211Z_2535896c,AAPL:2024-02-23,AAPL,2024-02-23,2024-02-23T21:00:00+00:00,2024-02-26,HOLD,cached,noop,deepseek,deepseek-v4-flash,deepseek-v4-flash,disabled,0.0,medium,3,3,5b1b6e1c132c13f9830b377ba9d54bf0c792b087e9917af5f0ada9cc895d661e,100000.0,0.0,strategy/cases/AAPL/2024-02-23/reports,strategy/cases/AAPL/2024-02-23/source_audit.json,0a18cdac113979b524b575aed6442907496de5ade1cde3e6f0e0ab19f9b7d229,hit,0.011068583989981562,257528,64512,193016,34608,,292136
M0_original_prompt_2024H1,20260812T082530978211Z_2535896c,AAPL:2024-03-01,AAPL,2024-03-01,2024-03-01T21:00:00+00:00,2024-03-04,SELL,cached,noop,deepseek,deepseek-v4-flash,deepseek-v4-flash,disabled,0.0,medium,3,3,5b1b6e1c132c13f9830b377ba9d54bf0c792b087e9917af5f0ada9cc895d661e,100000.0,0.0,strategy/cases/AAPL/2024-03-01/reports,strategy/cases/AAPL/2024-03-01/source_audit.json,63ebe00225cb4bd47b7b1f67236f712402fe64b424e2be07081d187e8775a85e,hit,0.011089999985415488,280777,68736,212041,37110,,317887
M0_original_prompt_2024H1,20260812T082530978211Z_2535896c,AAPL:2024-03-08,AAPL,2024-03-08,2024-03-08T21:00:00+00:00,2024-03-11,HOLD,cached,noop,deepseek,deepseek-v4-flash,deepseek-v4-flash,disabled,0.0,medium,3,3,5b1b6e1c132c13f9830b377ba9d54bf0c792b087e9917af5f0ada9cc895d661e,100000.0,0.0,strategy/cases/AAPL/2024-03-08/reports,strategy/cases/AAPL/2024-03-08/source_audit.json,e78204447c40bf064e3960c6ddf022f8807a998f10ca6734f0756aa459ef0f4c,hit,0.009486125025432557,268093,66048,202045,35510,,303603
